origin_id,destination_id,origin_adress,destination_adress,distance,duration,duration_in_traffic
9,7,Schörgelgasse 19; 8010 Graz; Austria,Mandellstraße 27; 8010 Graz; Austria,67,20,21
9,10,Schörgelgasse 19; 8010 Graz; Austria,Felix-Dahn-Platz 1; 8010 Graz; Austria,161,32,31
9,13,Schörgelgasse 19; 8010 Graz; Austria,Kopernikusgasse 19; 8010 Graz; Austria,113,20,20
10,7,Felix-Dahn-Platz 1; 8010 Graz; Austria,Mandellstraße 27; 8010 Graz; Austria,152,26,45
10,11,Felix-Dahn-Platz 1; 8010 Graz; Austria,Steyrergasse 1; 8010 Graz; Austria,244,44,44
11,10,Steyrergasse 1; 8010 Graz; Austria,Felix-Dahn-Platz 1; 8010 Graz; Austria,244,40,41
11,19,Steyrergasse 1; 8010 Graz; Austria,Graz Neue Technik; 8010 Graz; Austria,328,59,57
12,18,Kopernikusgasse 27; 8010 Graz; Austria,Münzgrabenstraße 42; 8010 Graz; Austria,182,54,53
13,9,Kopernikusgasse 19; 8010 Graz; Austria,Schörgelgasse 19; 8010 Graz; Austria,113,24,25
13,14,Kopernikusgasse 19; 8010 Graz; Austria,Kronesgasse 5; 8010 Graz; Austria,104,21,20
13,12,Kopernikusgasse 19; 8010 Graz; Austria,Kopernikusgasse 27; 8010 Graz; Austria,106,25,25
13,17,Kopernikusgasse 19; 8010 Graz; Austria,Brockmanngasse 36; 8010 Graz; Austria,153,31,29
14,8,Kronesgasse 5; 8010 Graz; Austria,Schörgelgasse 3; 8010 Graz; Austria,98,19,18
14,13,Kronesgasse 5; 8010 Graz; Austria,Kopernikusgasse 19; 8010 Graz; Austria,104,24,23
14,16,Kronesgasse 5; 8010 Graz; Austria,Münzgrabenstraße 13; 8010 Graz; Austria,97,21,20
15,21,Schießstattgasse 4a; 8010 Graz; Austria,Brockmanngasse 46; 8010 Graz; Austria,191,33,32
15,29,Schießstattgasse 4a; 8010 Graz; Austria,Klosterwiesgasse 32; 8010 Graz; Austria,190,49,48
16,4,Münzgrabenstraße 13; 8010 Graz; Austria,Dietrichsteinplatz (Münzgrabenstraße); 8010 Graz; Austria,177,50,66
16,15,Münzgrabenstraße 13; 8010 Graz; Austria,Schießstattgasse 4a; 8010 Graz; Austria,54,13,14
16,14,Münzgrabenstraße 13; 8010 Graz; Austria,Kronesgasse 5; 8010 Graz; Austria,97,18,17
16,17,Münzgrabenstraße 13; 8010 Graz; Austria,Brockmanngasse 36; 8010 Graz; Austria,179,25,25
17,13,Brockmanngasse 36; 8010 Graz; Austria,Kopernikusgasse 19; 8010 Graz; Austria,153,26,27
17,16,Brockmanngasse 36; 8010 Graz; Austria,Münzgrabenstraße 13; 8010 Graz; Austria,179,28,32
17,18,Brockmanngasse 36; 8010 Graz; Austria,Münzgrabenstraße 42; 8010 Graz; Austria,93,18,18
17,21,Brockmanngasse 36; 8010 Graz; Austria,Brockmanngasse 46; 8010 Graz; Austria,138,33,26
18,17,Münzgrabenstraße 42; 8010 Graz; Austria,Brockmanngasse 36; 8010 Graz; Austria,93,17,16
18,19,Münzgrabenstraße 42; 8010 Graz; Austria,Graz Neue Technik; 8010 Graz; Austria,36,8,7
19,18,Graz Neue Technik; 8010 Graz; Austria,Münzgrabenstraße 42; 8010 Graz; Austria,36,6,7
19,11,Graz Neue Technik; 8010 Graz; Austria,Steyrergasse 1; 8010 Graz; Austria,328,53,56
19,20,Graz Neue Technik; 8010 Graz; Austria,Kastellfeldgasse 34; 8010 Graz; Austria,184,29,28
20,19,Kastellfeldgasse 34; 8010 Graz; Austria,Graz Neue Technik; 8010 Graz; Austria,184,35,33
20,21,Kastellfeldgasse 34; 8010 Graz; Austria,Brockmanngasse 46; 8010 Graz; Austria,100,22,22
20,23,Kastellfeldgasse 34; 8010 Graz; Austria,Steyrergasse 73; 8010 Graz; Austria,172,21,21
21,15,Brockmanngasse 46; 8010 Graz; Austria,Schießstattgasse 4a; 8010 Graz; Austria,191,40,40
21,17,Brockmanngasse 46; 8010 Graz; Austria,Brockmanngasse 36; 8010 Graz; Austria,138,36,33
21,20,Brockmanngasse 46; 8010 Graz; Austria,Kastellfeldgasse 34; 8010 Graz; Austria,100,19,19
21,22,Brockmanngasse 46; 8010 Graz; Austria,Klosterwiesgasse 51; 8010 Graz; Austria,173,46,46
22,21,Klosterwiesgasse 51; 8010 Graz; Austria,Brockmanngasse 46; 8010 Graz; Austria,732,148,165
22,24,Klosterwiesgasse 51; 8010 Graz; Austria,Brockmanngasse 70; 8010 Graz; Austria,466,90,104
22,29,Klosterwiesgasse 51; 8010 Graz; Austria,Klosterwiesgasse 32; 8010 Graz; Austria,200,36,51
23,20,Steyrergasse 73; 8010 Graz; Austria,Kastellfeldgasse 34; 8010 Graz; Austria,172,21,20
23,22,Steyrergasse 73; 8010 Graz; Austria,Klosterwiesgasse 51; 8010 Graz; Austria,108,23,31
23,25,Steyrergasse 73; 8010 Graz; Austria,Steyrergasse 90; 8010 Graz; Austria,101,14,15
25,23,Steyrergasse 90; 8010 Graz; Austria,Steyrergasse 73; 8010 Graz; Austria,101,15,17
25,26,Steyrergasse 90; 8010 Graz; Austria,Steyrergasse; 8010 Graz; Austria,108,29,29
24,22,Brockmanngasse 70; 8010 Graz; Austria,Klosterwiesgasse 51; 8010 Graz; Austria,99,32,41
24,25,Brockmanngasse 70; 8010 Graz; Austria,Steyrergasse 90; 8010 Graz; Austria,105,22,22
24,27,Brockmanngasse 70; 8010 Graz; Austria,Conrad-von-Hötzendorf-Straße 23; 8010 Graz; Austria,323,75,78
26,27,Steyrergasse; 8010 Graz; Austria,Conrad-von-Hötzendorf-Straße 23; 8010 Graz; Austria,110,20,27
26,25,Steyrergasse; 8010 Graz; Austria,Steyrergasse 90; 8010 Graz; Austria,508,135,140
27,26,Conrad-von-Hötzendorf-Straße 23; 8010 Graz; Austria,Steyrergasse; 8010 Graz; Austria,110,22,23
27,30,Conrad-von-Hötzendorf-Straße 23; 8010 Graz; Austria,Conrad-von-Hötzendorf-Straße 6; 8010 Graz; Austria,190,36,46
28,24,Maygasse 15 / Ecke; Schießstattgasse; 8010 Graz; Austria,Brockmanngasse 70; 8010 Graz; Austria,173,30,28
28,2,Maygasse 15 / Ecke; Schießstattgasse; 8010 Graz; Austria,Grazbachgasse 34; 8010 Graz; Austria,142,39,38
29,28,Klosterwiesgasse 32; 8010 Graz; Austria,Maygasse 15 / Ecke; Schießstattgasse; 8010 Graz; Austria,90,18,18
29,3,Klosterwiesgasse 32; 8010 Graz; Austria,Grazbachgasse 33; 8010 Graz; Austria,146,33,34
30,1,Conrad-von-Hötzendorf-Straße 6; 8010 Graz; Austria,Grazbachgasse 40; 8010 Graz; Austria,82,22,23
30,27,Conrad-von-Hötzendorf-Straße 6; 8010 Graz; Austria,Conrad-von-Hötzendorf-Straße 23; 8010 Graz; Austria,190,31,31
